# instruction bytes -> MASM text, verified byte-identical by tools/verify_encodings.py.
# Regenerate with: py tools/verify_encodings.py --table data/encodings.tsv
cc	int 3
8b93e8000000	mov edx, dword ptr [ebx + 0E8h]
8b81cc010000	mov eax, dword ptr [ecx + 1CCh]
8b8bec000000	mov ecx, dword ptr [ebx + 0ECh]
88412d	mov byte ptr [ecx + 2Dh], al
8b83f8000000	mov eax, dword ptr [ebx + 0F8h]
8b5010	mov edx, dword ptr [eax + 10h]
0bd7	or edx, edi
895010	mov dword ptr [eax + 10h], edx
8b8b84020000	mov ecx, dword ptr [ebx + 284h]
8d55c4	lea edx, [ebp - 3Ch]
8b4114	mov eax, dword ptr [ecx + 14h]
8d45c4	lea eax, [ebp - 3Ch]
8d8b600e0000	lea ecx, [ebx + 0E60h]
8b832c0e0000	mov eax, dword ptr [ebx + 0E2Ch]
8983dc0e0000	mov dword ptr [ebx + 0EDCh], eax
8d8bf8100000	lea ecx, [ebx + 10F8h]
898374110000	mov dword ptr [ebx + 1174h], eax
8d8b90130000	lea ecx, [ebx + 1390h]
89830c140000	mov dword ptr [ebx + 140Ch], eax
8d8b28160000	lea ecx, [ebx + 1628h]
8983a4160000	mov dword ptr [ebx + 16A4h], eax
8b9384020000	mov edx, dword ptr [ebx + 284h]
8d4dc4	lea ecx, [ebp - 3Ch]
8d8b70170000	lea ecx, [ebx + 1770h]
8d8384180000	lea eax, [ebx + 1884h]
8bd0	mov edx, eax
8b0a	mov ecx, dword ptr [edx]
894de4	mov dword ptr [ebp - 1Ch], ecx
8b4a04	mov ecx, dword ptr [edx + 4]
894de8	mov dword ptr [ebp - 18h], ecx
8b4de4	mov ecx, dword ptr [ebp - 1Ch]
8955ec	mov dword ptr [ebp - 14h], edx
d945ec	fld dword ptr [ebp - 14h]
d945e8	fld dword ptr [ebp - 18h]
8b55ec	mov edx, dword ptr [ebp - 14h]
8983ec170000	mov dword ptr [ebx + 17ECh], eax
89bb80180000	mov dword ptr [ebx + 1880h], edi
8dbbb8180000	lea edi, [ebx + 18B8h]
8d8be0190000	lea ecx, [ebx + 19E0h]
898334190000	mov dword ptr [ebx + 1934h], eax
89835c1a0000	mov dword ptr [ebx + 1A5Ch], eax
c783041b000001000000	mov dword ptr [ebx + 1B04h], 1
8d8b2c1c0000	lea ecx, [ebx + 1C2Ch]
c783f41a00008e861842	mov dword ptr [ebx + 1AF4h], 4218868Eh
c783fc1a00008275a43e	mov dword ptr [ebx + 1AFCh], 3EA47582h
8d8b081b0000	lea ecx, [ebx + 1B08h]
8983a81c0000	mov dword ptr [ebx + 1CA8h], eax
8d8b701d0000	lea ecx, [ebx + 1D70h]
8983841b0000	mov dword ptr [ebx + 1B84h], eax
8d8b981e0000	lea ecx, [ebx + 1E98h]
8983ec1d0000	mov dword ptr [ebx + 1DECh], eax
8d8bbc1f0000	lea ecx, [ebx + 1FBCh]
8983141f0000	mov dword ptr [ebx + 1F14h], eax
898338200000	mov dword ptr [ebx + 2038h], eax
8d83600e0000	lea eax, [ebx + 0E60h]
8983300e0000	mov dword ptr [ebx + 0E30h], eax
8d8328160000	lea eax, [ebx + 1628h]
8983340e0000	mov dword ptr [ebx + 0E34h], eax
8d83f8100000	lea eax, [ebx + 10F8h]
8983380e0000	mov dword ptr [ebx + 0E38h], eax
8d83e0190000	lea eax, [ebx + 19E0h]
c7834c0e000003000000	mov dword ptr [ebx + 0E4Ch], 3
894b28	mov dword ptr [ebx + 28h], ecx
89bb3c0e0000	mov dword ptr [ebx + 0E3Ch], edi
8983400e0000	mov dword ptr [ebx + 0E40h], eax
c783540e000002000000	mov dword ptr [ebx + 0E54h], 2
898b500e0000	mov dword ptr [ebx + 0E50h], ecx
3bf9	cmp edi, ecx
8d8b88020000	lea ecx, [ebx + 288h]
8b8384020000	mov eax, dword ptr [ebx + 284h]
8b8b280e0000	mov ecx, dword ptr [ebx + 0E28h]
83c06c	add eax, 6Ch
8b4810	mov ecx, dword ptr [eax + 10h]
83e1fe	and ecx, 0FFFFFFFEh
894810	mov dword ptr [eax + 10h], ecx
8b8b2c0e0000	mov ecx, dword ptr [ebx + 0E2Ch]
8b4938	mov ecx, dword ptr [ecx + 38h]
8d4de4	lea ecx, [ebp - 1Ch]
83ec0c	sub esp, 0Ch
8bd4	mov edx, esp
890a	mov dword ptr [edx], ecx
8b4804	mov ecx, dword ptr [eax + 4]
8b4008	mov eax, dword ptr [eax + 8]
894a04	mov dword ptr [edx + 4], ecx
894208	mov dword ptr [edx + 8], eax
8b8b8c230000	mov ecx, dword ptr [ebx + 238Ch]
8b8818010000	mov ecx, dword ptr [eax + 118h]
898ab8010000	mov dword ptr [edx + 1B8h], ecx
8b801c010000	mov eax, dword ptr [eax + 11Ch]
8981bc010000	mov dword ptr [ecx + 1BCh], eax
6898010000	push 198h
6a04	push 4
8b932c0e0000	mov edx, dword ptr [ebx + 0E2Ch]
f6c408	test ah, 8
b907000000	mov ecx, 7
f3a6	repe cmpsb
b903000000	mov ecx, 3
8d4b2c	lea ecx, [ebx + 2Ch]
c20c00	ret 0Ch
f6c404	test ah, 4
83f803	cmp eax, 3
8b819c230000	mov eax, dword ptr [ecx + 239Ch]
8b4d08	mov ecx, dword ptr [ebp + 8]
8b550c	mov edx, dword ptr [ebp + 0Ch]
8908	mov dword ptr [eax], ecx
8b4d10	mov ecx, dword ptr [ebp + 10h]
895004	mov dword ptr [eax + 4], edx
894808	mov dword ptr [eax + 8], ecx
8b7d0c	mov edi, dword ptr [ebp + 0Ch]
d94738	fld dword ptr [edi + 38h]
d91c24	fstp dword ptr [esp]
8b8e9c230000	mov ecx, dword ptr [esi + 239Ch]
c20800	ret 8
8a86580e0000	mov al, byte ptr [esi + 0E58h]
8b8e2c0e0000	mov ecx, dword ptr [esi + 0E2Ch]
8d86701d0000	lea eax, [esi + 1D70h]
8b8e480e0000	mov ecx, dword ptr [esi + 0E48h]
8d9628160000	lea edx, [esi + 1628h]
8b848e300e0000	mov eax, dword ptr [esi + ecx*4 + 0E30h]
3bc2	cmp eax, edx
8d8ea4020000	lea ecx, [esi + 2A4h]
8bc4	mov eax, esp
6800006040	push 40600000h
8d96600e0000	lea edx, [esi + 0E60h]
c6865a0e000001	mov byte ptr [esi + 0E5Ah], 1
8bcc	mov ecx, esp
8911	mov dword ptr [ecx], edx
895104	mov dword ptr [ecx + 4], edx
895108	mov dword ptr [ecx + 8], edx
8b86f8100000	mov eax, dword ptr [esi + 10F8h]
d98638110000	fld dword ptr [esi + 1138h]
d95df4	fstp dword ptr [ebp - 0Ch]
d9863c110000	fld dword ptr [esi + 113Ch]
8dbe2c1c0000	lea edi, [esi + 1C2Ch]
d95df8	fstp dword ptr [ebp - 8]
d98640110000	fld dword ptr [esi + 1140h]
8b55f8	mov edx, dword ptr [ebp - 8]
8b45fc	mov eax, dword ptr [ebp - 4]
8d55e8	lea edx, [ebp - 18h]
c745e800000000	mov dword ptr [ebp - 18h], 0
c745ec00000000	mov dword ptr [ebp - 14h], 0
c745f000000000	mov dword ptr [ebp - 10h], 0
680000a040	push 40A00000h
68cdcc4c3f	push 3F4CCCCDh
8902	mov dword ptr [edx], eax
8b96981e0000	mov edx, dword ptr [esi + 1E98h]
c686590e000001	mov byte ptr [esi + 0E59h], 1
89864c200000	mov dword ptr [esi + 204Ch], eax
8b8ee8000000	mov ecx, dword ptr [esi + 0E8h]
0fbf5106	movsx edx, word ptr [ecx + 6]
8b4808	mov ecx, dword ptr [eax + 8]
8b1491	mov edx, dword ptr [ecx + edx*4]
f6020a	test byte ptr [edx], 0Ah
c786d02000000000ac41	mov dword ptr [esi + 20D0h], 41AC0000h
c786d82000007b14ae3e	mov dword ptr [esi + 20D8h], 3EAE147Bh
c786d020000000007841	mov dword ptr [esi + 20D0h], 41780000h
c786d820000000000000	mov dword ptr [esi + 20D8h], 0
8986d4200000	mov dword ptr [esi + 20D4h], eax
d99e88200000	fstp dword ptr [esi + 2088h]
d99e8c200000	fstp dword ptr [esi + 208Ch]
8dbebc1f0000	lea edi, [esi + 1FBCh]
894104	mov dword ptr [ecx + 4], eax
8b07	mov eax, dword ptr [edi]
8b812c0e0000	mov eax, dword ptr [ecx + 0E2Ch]
8d9128160000	lea edx, [ecx + 1628h]
8b4030	mov eax, dword ptr [eax + 30h]
81c170170000	add ecx, 1770h
3bc1	cmp eax, ecx
b801000000	mov eax, 1
8dbe70170000	lea edi, [esi + 1770h]
d9878c000000	fld dword ptr [edi + 8Ch]
d98788000000	fld dword ptr [edi + 88h]
8b862c0e0000	mov eax, dword ptr [esi + 0E2Ch]
c7401800000000	mov dword ptr [eax + 18h], 0
8a5118	mov dl, byte ptr [ecx + 18h]
6800008c42	push 428C0000h
c7411801000000	mov dword ptr [ecx + 18h], 1
8b962c0e0000	mov edx, dword ptr [esi + 0E2Ch]
8a4218	mov al, byte ptr [edx + 18h]
8b81480e0000	mov eax, dword ptr [ecx + 0E48h]
f7b94c0e0000	idiv dword ptr [ecx + 0E4Ch]
8b81500e0000	mov eax, dword ptr [ecx + 0E50h]
f7b9540e0000	idiv dword ptr [ecx + 0E54h]
8a865a0e0000	mov al, byte ptr [esi + 0E5Ah]
8a86590e0000	mov al, byte ptr [esi + 0E59h]
8d45f8	lea eax, [ebp - 8]
3bc8	cmp ecx, eax
3b45f8	cmp eax, dword ptr [ebp - 8]
3b864c0e0000	cmp eax, dword ptr [esi + 0E4Ch]
8986480e0000	mov dword ptr [esi + 0E48h], eax
894a08	mov dword ptr [edx + 8], ecx
8b9486300e0000	mov edx, dword ptr [esi + eax*4 + 0E30h]
8b8ea0230000	mov ecx, dword ptr [esi + 23A0h]
83be480e000001	cmp dword ptr [esi + 0E48h], 1
8a8e480e0000	mov cl, byte ptr [esi + 0E48h]
c7462800000000	mov dword ptr [esi + 28h], 0
83f901	cmp ecx, 1
8986500e0000	mov dword ptr [esi + 0E50h], eax
8b94863c0e0000	mov edx, dword ptr [esi + eax*4 + 0E3Ch]
c7462801000000	mov dword ptr [esi + 28h], 1
83f902	cmp ecx, 2
8d8670170000	lea eax, [esi + 1770h]
c7462802000000	mov dword ptr [esi + 28h], 2
8b4128	mov eax, dword ptr [ecx + 28h]
83e800	sub eax, 0
c70000000000	mov dword ptr [eax], 0
8b89500e0000	mov ecx, dword ptr [ecx + 0E50h]
8901	mov dword ptr [ecx], eax
8d8170170000	lea eax, [ecx + 1770h]
8b91500e0000	mov edx, dword ptr [ecx + 0E50h]
8b84913c0e0000	mov eax, dword ptr [ecx + edx*4 + 0E3Ch]
8b8481300e0000	mov eax, dword ptr [ecx + eax*4 + 0E30h]
83ec2c	sub esp, 2Ch
d9417c	fld dword ptr [ecx + 7Ch]
8b8140150000	mov eax, dword ptr [ecx + 1540h]
d98148020000	fld dword ptr [ecx + 248h]
d85e20	fcomp dword ptr [esi + 20h]
d84618	fadd dword ptr [esi + 18h]
d95e18	fstp dword ptr [esi + 18h]
c7461800000000	mov dword ptr [esi + 18h], 0
d94618	fld dword ptr [esi + 18h]
d85e1c	fcomp dword ptr [esi + 1Ch]
f6c441	test ah, 41h
8d8110020000	lea eax, [ecx + 210h]
8955d4	mov dword ptr [ebp - 2Ch], edx
8b5004	mov edx, dword ptr [eax + 4]
8955d8	mov dword ptr [ebp - 28h], edx
8945dc	mov dword ptr [ebp - 24h], eax
8b9150020000	mov edx, dword ptr [ecx + 250h]
d98190000000	fld dword ptr [ecx + 90h]
d98194000000	fld dword ptr [ecx + 94h]
8955fc	mov dword ptr [ebp - 4], edx
d98198000000	fld dword ptr [ecx + 98h]
8b45f4	mov eax, dword ptr [ebp - 0Ch]
8955e4	mov dword ptr [ebp - 1Ch], edx
8d55e0	lea edx, [ebp - 20h]
8945e8	mov dword ptr [ebp - 18h], eax
d98084000000	fld dword ptr [eax + 84h]
d9808c000000	fld dword ptr [eax + 8Ch]
d9f3	fpatan
d99850020000	fstp dword ptr [eax + 250h]
8b86ec000000	mov eax, dword ptr [esi + 0ECh]
8bbe54220000	mov edi, dword ptr [esi + 2254h]
c786681d000001000000	mov dword ptr [esi + 1D68h], 1
8b4830	mov ecx, dword ptr [eax + 30h]
894df8	mov dword ptr [ebp - 8], ecx
8d45d4	lea eax, [ebp - 2Ch]
8b45f8	mov eax, dword ptr [ebp - 8]
899150020000	mov dword ptr [ecx + 250h], edx
8b8eec000000	mov ecx, dword ptr [esi + 0ECh]
89be54220000	mov dword ptr [esi + 2254h], edi
899e58220000	mov dword ptr [esi + 2258h], ebx
8b860c010000	mov eax, dword ptr [esi + 10Ch]
83e2fe	and edx, 0FFFFFFFEh
8b8486300e0000	mov eax, dword ptr [esi + eax*4 + 0E30h]
8b8c8e300e0000	mov ecx, dword ptr [esi + ecx*4 + 0E30h]
895e28	mov dword ptr [esi + 28h], ebx
3ac3	cmp al, bl
66399e80080000	cmp word ptr [esi + 880h], bx
c786480e000001000000	mov dword ptr [esi + 0E48h], 1
399e681d0000	cmp dword ptr [esi + 1D68h], ebx
8b8690090000	mov eax, dword ptr [esi + 990h]
0c01	or al, 1
24fe	and al, 0FEh
898690090000	mov dword ptr [esi + 990h], eax
89be54230000	mov dword ptr [esi + 2354h], edi
89be50230000	mov dword ptr [esi + 2350h], edi
89be4c230000	mov dword ptr [esi + 234Ch], edi
89be60230000	mov dword ptr [esi + 2360h], edi
89be5c230000	mov dword ptr [esi + 235Ch], edi
89be58230000	mov dword ptr [esi + 2358h], edi
6689be64230000	mov word ptr [esi + 2364h], di
89be88230000	mov dword ptr [esi + 2388h], edi
898164220000	mov dword ptr [ecx + 2264h], eax
8b8984020000	mov ecx, dword ptr [ecx + 284h]
899154150000	mov dword ptr [ecx + 1554h], edx
d94508	fld dword ptr [ebp + 8]
c745fc0000803f	mov dword ptr [ebp - 4], 3F800000h
c745fc000080bf	mov dword ptr [ebp - 4], 0BF800000h
d9e1	fabs
d95508	fst dword ptr [ebp + 8]
d986cc220000	fld dword ptr [esi + 22CCh]
d84dfc	fmul dword ptr [ebp - 4]
d8966c220000	fcom dword ptr [esi + 226Ch]
d88668220000	fadd dword ptr [esi + 2268h]
d99e68220000	fstp dword ptr [esi + 2268h]
898e68220000	mov dword ptr [esi + 2268h], ecx
d98604230000	fld dword ptr [esi + 2304h]
d89e6c220000	fcomp dword ptr [esi + 226Ch]
ddd8	fstp st
d8b604230000	fdiv dword ptr [esi + 2304h]
66398ed0220000	cmp word ptr [esi + 22D0h], cx
d98668220000	fld dword ptr [esi + 2268h]
f6c440	test ah, 40h
d98670220000	fld dword ptr [esi + 2270h]
d9c1	fld st(1)
d9c9	fxch st(1)
ded9	fcompp
d8d9	fcomp st(1)
d986dc220000	fld dword ptr [esi + 22DCh]
d88e68220000	fmul dword ptr [esi + 2268h]
d886ec220000	fadd dword ptr [esi + 22ECh]
d8db	fcomp st(3)
d88670220000	fadd dword ptr [esi + 2270h]
d99670220000	fst dword ptr [esi + 2270h]
d99e70220000	fstp dword ptr [esi + 2270h]
d886e0220000	fadd dword ptr [esi + 22E0h]
d8ae70220000	fsubr dword ptr [esi + 2270h]
c745080000803f	mov dword ptr [ebp + 8], 3F800000h
c74508000080bf	mov dword ptr [ebp + 8], 0BF800000h
c7450800000000	mov dword ptr [ebp + 8], 0
d955fc	fst dword ptr [ebp - 4]
d98600230000	fld dword ptr [esi + 2300h]
d84d08	fmul dword ptr [ebp + 8]
d88e04230000	fmul dword ptr [esi + 2304h]
d9863c230000	fld dword ptr [esi + 233Ch]
d8b63c230000	fdiv dword ptr [esi + 233Ch]
66398e08230000	cmp word ptr [esi + 2308h], cx
d98614230000	fld dword ptr [esi + 2314h]
d88624230000	fadd dword ptr [esi + 2324h]
d88618230000	fadd dword ptr [esi + 2318h]
d98638230000	fld dword ptr [esi + 2338h]
d88e3c230000	fmul dword ptr [esi + 233Ch]
d8a688230000	fsub dword ptr [esi + 2388h]
8b8848020000	mov ecx, dword ptr [eax + 248h]
d94030	fld dword ptr [eax + 30h]
d86038	fsub dword ptr [eax + 38h]
d94034	fld dword ptr [eax + 34h]
def9	fdivp st(1), st
c745f800000000	mov dword ptr [ebp - 8], 0
c745f80000803f	mov dword ptr [ebp - 8], 3F800000h
d98188060000	fld dword ptr [ecx + 688h]
d89e58230000	fcomp dword ptr [esi + 2358h]
d9866c230000	fld dword ptr [esi + 236Ch]
d88988060000	fmul dword ptr [ecx + 688h]
8b9188060000	mov edx, dword ptr [ecx + 688h]
899658230000	mov dword ptr [esi + 2358h], edx
d89868010000	fcomp dword ptr [eax + 168h]
d98174060000	fld dword ptr [ecx + 674h]
d87dfc	fdivr dword ptr [ebp - 4]
d9864c230000	fld dword ptr [esi + 234Ch]
d89990060000	fcomp dword ptr [ecx + 690h]
d98650230000	fld dword ptr [esi + 2350h]
d89994060000	fcomp dword ptr [ecx + 694h]
d89e5c230000	fcomp dword ptr [esi + 235Ch]
8b9190060000	mov edx, dword ptr [ecx + 690h]
89964c230000	mov dword ptr [esi + 234Ch], edx
8b8194060000	mov eax, dword ptr [ecx + 694h]
898650230000	mov dword ptr [esi + 2350h], eax
c7865423000000000000	mov dword ptr [esi + 2354h], 0
d955f8	fst dword ptr [ebp - 8]
d8b650230000	fdiv dword ptr [esi + 2350h]
8b9670230000	mov edx, dword ptr [esi + 2370h]
d981f8060000	fld dword ptr [ecx + 6F8h]
d98678230000	fld dword ptr [esi + 2378h]
d981fc060000	fld dword ptr [ecx + 6FCh]
d9867c230000	fld dword ptr [esi + 237Ch]
d89e84230000	fcomp dword ptr [esi + 2384h]
8b8674230000	mov eax, dword ptr [esi + 2374h]
d89e80230000	fcomp dword ptr [esi + 2380h]
d8a680230000	fsub dword ptr [esi + 2380h]
d98684230000	fld dword ptr [esi + 2384h]
d98674230000	fld dword ptr [esi + 2374h]
d8a670230000	fsub dword ptr [esi + 2370h]
d88670230000	fadd dword ptr [esi + 2370h]
d98660230000	fld dword ptr [esi + 2360h]
d865f8	fsub dword ptr [ebp - 8]
899660230000	mov dword ptr [esi + 2360h], edx
d98128090000	fld dword ptr [ecx + 928h]
d89e94230000	fcomp dword ptr [esi + 2394h]
d981bc060000	fld dword ptr [ecx + 6BCh]
d981000e0000	fld dword ptr [ecx + 0E00h]
d981940b0000	fld dword ptr [ecx + 0B94h]
d9814c020000	fld dword ptr [ecx + 24Ch]
d98690230000	fld dword ptr [esi + 2390h]
c745f8cdcccc3d	mov dword ptr [ebp - 8], 3DCCCCCDh
c686580e000000	mov byte ptr [esi + 0E58h], 0
8b5130	mov edx, dword ptr [ecx + 30h]
83c21c	add edx, 1Ch
8b462c	mov eax, dword ptr [esi + 2Ch]
83c078	add eax, 78h
8bf9	mov edi, ecx
ff521c	call dword ptr [edx + 1Ch]
8b4f08	mov ecx, dword ptr [edi + 8]
8b1481	mov edx, dword ptr [ecx + eax*4]
f60202	test byte ptr [edx], 2
80c980	or cl, 80h
8a4124	mov al, byte ptr [ecx + 24h]
680000003f	push 3F000000h
80e17f	and cl, 7Fh
399ea0230000	cmp dword ptr [esi + 23A0h], ebx
8b8698220000	mov eax, dword ptr [esi + 2298h]
d986a0220000	fld dword ptr [esi + 22A0h]
d8a69c220000	fsub dword ptr [esi + 229Ch]
8b86a0220000	mov eax, dword ptr [esi + 22A0h]
d9869c220000	fld dword ptr [esi + 229Ch]
d955f0	fst dword ptr [ebp - 10h]
d945f0	fld dword ptr [ebp - 10h]
d85dec	fcomp dword ptr [ebp - 14h]
def1	fdivrp st(1), st
d986bc220000	fld dword ptr [esi + 22BCh]
d986c4220000	fld dword ptr [esi + 22C4h]
d8e1	fsub st, st(1)
d8ca	fmul st, st(2)
d8c1	fadd st, st(1)
d888c4010000	fmul dword ptr [eax + 1C4h]
d998c0010000	fstp dword ptr [eax + 1C0h]
d986c0220000	fld dword ptr [esi + 22C0h]
d986c8220000	fld dword ptr [esi + 22C8h]
d99ecc220000	fstp dword ptr [esi + 22CCh]
d986f4220000	fld dword ptr [esi + 22F4h]
d986fc220000	fld dword ptr [esi + 22FCh]
dec1	faddp st(1), st
d99604230000	fst dword ptr [esi + 2304h]
d982c4010000	fld dword ptr [edx + 1C4h]
d8c9	fmul st, st(1)
d99e04230000	fstp dword ptr [esi + 2304h]
d986f0220000	fld dword ptr [esi + 22F0h]
d986f8220000	fld dword ptr [esi + 22F8h]
d99e00230000	fstp dword ptr [esi + 2300h]
d986e4220000	fld dword ptr [esi + 22E4h]
d986d4220000	fld dword ptr [esi + 22D4h]
d99eec220000	fstp dword ptr [esi + 22ECh]
d986e8220000	fld dword ptr [esi + 22E8h]
d986d8220000	fld dword ptr [esi + 22D8h]
d99ee0220000	fstp dword ptr [esi + 22E0h]
d9862c230000	fld dword ptr [esi + 232Ch]
d98634230000	fld dword ptr [esi + 2334h]
d9963c230000	fst dword ptr [esi + 233Ch]
d980c4010000	fld dword ptr [eax + 1C4h]
d99e3c230000	fstp dword ptr [esi + 233Ch]
d98628230000	fld dword ptr [esi + 2328h]
d98630230000	fld dword ptr [esi + 2330h]
d99e38230000	fstp dword ptr [esi + 2338h]
d9861c230000	fld dword ptr [esi + 231Ch]
d9860c230000	fld dword ptr [esi + 230Ch]
d99e24230000	fstp dword ptr [esi + 2324h]
d98620230000	fld dword ptr [esi + 2320h]
d98610230000	fld dword ptr [esi + 2310h]
d99e18230000	fstp dword ptr [esi + 2318h]
d986b0220000	fld dword ptr [esi + 22B0h]
d986a4220000	fld dword ptr [esi + 22A4h]
d999c8010000	fstp dword ptr [ecx + 1C8h]
d986b4220000	fld dword ptr [esi + 22B4h]
d986a8220000	fld dword ptr [esi + 22A8h]
d99acc010000	fstp dword ptr [edx + 1CCh]
d986b8220000	fld dword ptr [esi + 22B8h]
d986ac220000	fld dword ptr [esi + 22ACh]
d998d0010000	fstp dword ptr [eax + 1D0h]
8b8ec0220000	mov ecx, dword ptr [esi + 22C0h]
898ecc220000	mov dword ptr [esi + 22CCh], ecx
d88ef4220000	fmul dword ptr [esi + 22F4h]
d996f4220000	fst dword ptr [esi + 22F4h]
8b86f0220000	mov eax, dword ptr [esi + 22F0h]
898600230000	mov dword ptr [esi + 2300h], eax
8b8ee4220000	mov ecx, dword ptr [esi + 22E4h]
898eec220000	mov dword ptr [esi + 22ECh], ecx
8b96e8220000	mov edx, dword ptr [esi + 22E8h]
8996e0220000	mov dword ptr [esi + 22E0h], edx
8b8e28230000	mov ecx, dword ptr [esi + 2328h]
8b961c230000	mov edx, dword ptr [esi + 231Ch]
8b8620230000	mov eax, dword ptr [esi + 2320h]
898e38230000	mov dword ptr [esi + 2338h], ecx
d88e2c230000	fmul dword ptr [esi + 232Ch]
899624230000	mov dword ptr [esi + 2324h], edx
8b8ec8220000	mov ecx, dword ptr [esi + 22C8h]
d88efc220000	fmul dword ptr [esi + 22FCh]
8b86f8220000	mov eax, dword ptr [esi + 22F8h]
8b8ed4220000	mov ecx, dword ptr [esi + 22D4h]
8b96d8220000	mov edx, dword ptr [esi + 22D8h]
8b8e30230000	mov ecx, dword ptr [esi + 2330h]
8b960c230000	mov edx, dword ptr [esi + 230Ch]
8b8610230000	mov eax, dword ptr [esi + 2310h]
d88e34230000	fmul dword ptr [esi + 2334h]
898618230000	mov dword ptr [esi + 2318h], eax
399e58220000	cmp dword ptr [esi + 2258h], ebx
8999bc020000	mov dword ptr [ecx + 2BCh], ebx
c7824c1500000000803f	mov dword ptr [edx + 154Ch], 3F800000h
c78054150000000080bf	mov dword ptr [eax + 1554h], 0BF800000h
8a412d	mov al, byte ptr [ecx + 2Dh]
899abc020000	mov dword ptr [edx + 2BCh], ebx
899854150000	mov dword ptr [eax + 1554h], ebx
89994c150000	mov dword ptr [ecx + 154Ch], ebx
d981bc020000	fld dword ptr [ecx + 2BCh]
c781501500000000803f	mov dword ptr [ecx + 1550h], 3F800000h
399e5c220000	cmp dword ptr [esi + 225Ch], ebx
d98640230000	fld dword ptr [esi + 2340h]
399e44230000	cmp dword ptr [esi + 2344h], ebx
c7864423000001000000	mov dword ptr [esi + 2344h], 1
83c040	add eax, 40h
d900	fld dword ptr [eax]
d95de0	fstp dword ptr [ebp - 20h]
d94004	fld dword ptr [eax + 4]
d95de4	fstp dword ptr [ebp - 1Ch]
d94008	fld dword ptr [eax + 8]
8945f4	mov dword ptr [ebp - 0Ch], eax
8d45f4	lea eax, [ebp - 0Ch]
8b8496300e0000	mov eax, dword ptr [esi + edx*4 + 0E30h]
8a965a0e0000	mov dl, byte ptr [esi + 0E5Ah]
8b7930	mov edi, dword ptr [ecx + 30h]
84d2	test dl, dl
3bf8	cmp edi, eax
c6865a0e000000	mov byte ptr [esi + 0E5Ah], 0
8d9670170000	lea edx, [esi + 1770h]
8d86600e0000	lea eax, [esi + 0E60h]
689a99993e	push 3E99999Ah
894204	mov dword ptr [edx + 4], eax
8d8628160000	lea eax, [esi + 1628h]
8938	mov dword ptr [eax], edi
897804	mov dword ptr [eax + 4], edi
897808	mov dword ptr [eax + 8], edi
83794402	cmp dword ptr [ecx + 44h], 2
8b824c020000	mov eax, dword ptr [edx + 24Ch]
89865c0e0000	mov dword ptr [esi + 0E5Ch], eax
668b1a	mov bx, word ptr [edx]
f680e000000013	test byte ptr [eax + 0E0h], 13h
f6c320	test bl, 20h
8845d4	mov byte ptr [ebp - 2Ch], al
8d55f4	lea edx, [ebp - 0Ch]
8d4db8	lea ecx, [ebp - 48h]
c745d800000000	mov dword ptr [ebp - 28h], 0
897ddc	mov dword ptr [ebp - 24h], edi
8d851cffffff	lea eax, [ebp - 0E4h]
f6c30a	test bl, 0Ah
8d96e0190000	lea edx, [esi + 19E0h]
8b96480e0000	mov edx, dword ptr [esi + 0E48h]
8d96f8100000	lea edx, [esi + 10F8h]
8b4130	mov eax, dword ptr [ecx + 30h]
8d8690130000	lea eax, [esi + 1390h]
f6c308	test bl, 8
d99ee00f0000	fstp dword ptr [esi + 0FE0h]
d99e78120000	fstp dword ptr [esi + 1278h]
b8c3f5a83e	mov eax, 3EA8F5C3h
8986e00f0000	mov dword ptr [esi + 0FE0h], eax
898678120000	mov dword ptr [esi + 1278h], eax
8b8184020000	mov eax, dword ptr [ecx + 284h]
8981b8160000	mov dword ptr [ecx + 16B8h], eax
8b9184020000	mov edx, dword ptr [ecx + 284h]
83c26c	add edx, 6Ch
8991f00e0000	mov dword ptr [ecx + 0EF0h], edx
898188110000	mov dword ptr [ecx + 1188h], eax
c7412400000000	mov dword ptr [ecx + 24h], 0
83c054	add eax, 54h
8981f00e0000	mov dword ptr [ecx + 0EF0h], eax
c7412401000000	mov dword ptr [ecx + 24h], 1
8b81ec000000	mov eax, dword ptr [ecx + 0ECh]
85d2	test edx, edx
89815c220000	mov dword ptr [ecx + 225Ch], eax
059c000000	add eax, 9Ch
894dec	mov dword ptr [ebp - 14h], ecx
8955f0	mov dword ptr [ebp - 10h], edx
d84df0	fmul dword ptr [ebp - 10h]
d84df4	fmul dword ptr [ebp - 0Ch]
d84dec	fmul dword ptr [ebp - 14h]
d94130	fld dword ptr [ecx + 30h]
d94134	fld dword ptr [ecx + 34h]
d845f8	fadd dword ptr [ebp - 8]
d9804c020000	fld dword ptr [eax + 24Ch]
d89968010000	fcomp dword ptr [ecx + 168h]
899688230000	mov dword ptr [esi + 2388h], edx
d88e98230000	fmul dword ptr [esi + 2398h]
8d8698220000	lea eax, [esi + 2298h]
8d8e9c220000	lea ecx, [esi + 229Ch]
8d96bc220000	lea edx, [esi + 22BCh]
8d86c0220000	lea eax, [esi + 22C0h]
8d8ef4220000	lea ecx, [esi + 22F4h]
8d96f0220000	lea edx, [esi + 22F0h]
8d86a0220000	lea eax, [esi + 22A0h]
8d8ec4220000	lea ecx, [esi + 22C4h]
8d96c8220000	lea edx, [esi + 22C8h]
8d86fc220000	lea eax, [esi + 22FCh]
